UID,GID,LON,LAT,TIME
uSAxD3r9EMA0FiURxLwl,1,16.0792705,108.2206174,2016/3/7 9:50
,1,35.1729754,136.8840449,2016/3/7 9:50
1ETA5Ed4gzN81sX3nJyl,2,35.1730246,136.884208,2016/3/7 9:51
1ETA5Ed4gzN81sX3nJyl,2,0,0,2016/3/7 9:51
1ETA5Ed4gzN81sX3nJyl,2,35.1730189,136.8842431,2016/3/7 9:51
1ETA5Ed4gzN81sX3nJyl,2,35.1730368,136.8843319,2016/3/7 9:51
1ETA5Ed4gzN81sX3nJyl,2,35.1730702,136.8843513,2016/3/7 9:52
1ETA5Ed4gzN81sX3nJyl,2,35.1730262,136.8842916,2016/3/7 9:52
1ETA5Ed4gzN81sX3nJyl,2,35.1729846,136.8843377,2016/3/7 9:52
1ETA5Ed4gzN81sX3nJyl,2,35.1730151,136.8842022,2016/3/7 9:52
1ETA5Ed4gzN81sX3nJyl,2,35.1730364,136.8844596,2016/3/7 9:52
1ETA5Ed4gzN81sX3nJyl,2,35.172985,136.8840314,2016/3/7 9:52
1ETA5Ed4gzN81sX3nJyl,2,35.1730587,136.884178,2016/3/7 9:53
1ETA5Ed4gzN81sX3nJyl,2,35.1730262,136.884287,2016/3/7 9:53
1ETA5Ed4gzN81sX3nJyl,2,35.1730248,136.8841437,2016/3/7 9:53
1ETA5Ed4gzN81sX3nJyl,2,35.1730408,136.8843306,2016/3/7 9:53
1ETA5Ed4gzN81sX3nJyl,2,35.1730328,136.8842717,2016/3/7 9:53
1ETA5Ed4gzN81sX3nJyl,2,35.173009,136.8840531,2016/3/7 9:53
1ETA5Ed4gzN81sX3nJyl,2,35.1730456,136.8842187,2016/3/7 9:54
1ETA5Ed4gzN81sX3nJyl,2,35.1730434,136.8844925,2016/3/7 9:54
1ETA5Ed4gzN81sX3nJyl,2,35.1730334,136.8844899,2016/3/7 9:54
1ETA5Ed4gzN81sX3nJyl,2,35.173004,136.8842062,2016/3/7 9:54
1ETA5Ed4gzN81sX3nJyl,2,35.1730867,136.8843824,2016/3/7 9:54
1ETA5Ed4gzN81sX3nJyl,2,35.1730457,136.8844648,2016/3/7 9:54
1ETA5Ed4gzN81sX3nJyl,2,35.17301,136.8841367,2016/3/7 9:55
1ETA5Ed4gzN81sX3nJyl,2,35.1730458,136.8842608,2016/3/7 9:55
1ETA5Ed4gzN81sX3nJyl,2,35.1730584,136.8842705,2016/3/7 9:55
1ETA5Ed4gzN81sX3nJyl,2,35.173032,136.8843886,2016/3/7 9:55
1ETA5Ed4gzN81sX3nJyl,2,35.1730673,136.8844451,2016/3/7 9:55
1ETA5Ed4gzN81sX3nJyl,2,35.1730278,136.8843982,2016/3/7 9:55
1ETA5Ed4gzN81sX3nJyl,2,35.1729644,136.8842326,2016/3/7 9:56
1ETA5Ed4gzN81sX3nJyl,2,35.1730289,136.8842394,2016/3/7 9:56
1ETA5Ed4gzN81sX3nJyl,2,35.1730302,136.8843101,2016/3/7 9:56
1ETA5Ed4gzN81sX3nJyl,2,35.173022,136.8842516,2016/3/7 9:56
1ETA5Ed4gzN81sX3nJyl,2,35.173032,136.8843639,2016/3/7 9:56
1ETA5Ed4gzN81sX3nJyl,2,35.172984,136.8840836,2016/3/7 10:17
1ETA5Ed4gzN81sX3nJyl,2,35.1730118,136.8841746,2016/3/7 10:17
1ETA5Ed4gzN81sX3nJyl,2,35.1730183,136.8842038,2016/3/7 10:17
1ETA5Ed4gzN81sX3nJyl,2,35.173024,136.884217,2016/3/7 10:17
1ETA5Ed4gzN81sX3nJyl,2,35.1730208,136.884203,2016/3/7 10:17
1ETA5Ed4gzN81sX3nJyl,2,35.1730135,136.8841964,2016/3/7 10:17
1ETA5Ed4gzN81sX3nJyl,2,35.1730145,136.8841938,2016/3/7 10:17
1ETA5Ed4gzN81sX3nJyl,2,35.1730132,136.8841875,2016/3/7 10:18
1ETA5Ed4gzN81sX3nJyl,2,35.1730137,136.8842068,2016/3/7 10:18
1ETA5Ed4gzN81sX3nJyl,2,35.1730135,136.8842177,2016/3/7 10:18
1ETA5Ed4gzN81sX3nJyl,2,35.173013,136.8842237,2016/3/7 10:18
1ETA5Ed4gzN81sX3nJyl,2,35.173014,136.8842352,2016/3/7 10:18
1ETA5Ed4gzN81sX3nJyl,2,35.1730161,136.8842452,2016/3/7 10:18
1ETA5Ed4gzN81sX3nJyl,2,35.1730174,136.8842548,2016/3/7 10:19
1ETA5Ed4gzN81sX3nJyl,2,35.1730164,136.8842473,2016/3/7 10:19
1ETA5Ed4gzN81sX3nJyl,2,35.1730156,136.8842463,2016/3/7 10:19
1ETA5Ed4gzN81sX3nJyl,2,35.1730164,136.8842385,2016/3/7 10:19
1ETA5Ed4gzN81sX3nJyl,2,35.173017,136.8842409,2016/3/7 10:19
1ETA5Ed4gzN81sX3nJyl,2,35.1730175,136.8842355,2016/3/7 10:19
1ETA5Ed4gzN81sX3nJyl,2,35.1730186,136.8842342,2016/3/7 10:20
1ETA5Ed4gzN81sX3nJyl,2,35.1730206,136.8842391,2016/3/7 10:20
1ETA5Ed4gzN81sX3nJyl,2,35.1730207,136.8842397,2016/3/7 10:20
1ETA5Ed4gzN81sX3nJyl,2,35.1730206,136.8842392,2016/3/7 10:20
1ETA5Ed4gzN81sX3nJyl,2,35.1730208,136.8842418,2016/3/7 10:20
1ETA5Ed4gzN81sX3nJyl,2,35.1730207,136.8842415,2016/3/7 10:20
1ETA5Ed4gzN81sX3nJyl,2,35.1730217,136.8842453,2016/3/7 10:21
1ETA5Ed4gzN81sX3nJyl,2,35.1730208,136.8842427,2016/3/7 10:21
1ETA5Ed4gzN81sX3nJyl,2,35.1730204,136.8842443,2016/3/7 10:21
1ETA5Ed4gzN81sX3nJyl,2,35.1730199,136.8842436,2016/3/7 10:21
1ETA5Ed4gzN81sX3nJyl,2,35.1730194,136.8842424,2016/3/7 10:21
1ETA5Ed4gzN81sX3nJyl,2,35.1730184,136.884238,2016/3/7 10:21
1ETA5Ed4gzN81sX3nJyl,2,35.1730189,136.8842423,2016/3/7 10:22
1ETA5Ed4gzN81sX3nJyl,2,35.1730187,136.8842393,2016/3/7 10:22
1ETA5Ed4gzN81sX3nJyl,2,35.1730181,136.8842374,2016/3/7 10:22
1ETA5Ed4gzN81sX3nJyl,2,35.1730178,136.8842353,2016/3/7 10:22
1ETA5Ed4gzN81sX3nJyl,2,35.1730178,136.8842325,2016/3/7 10:22
1ETA5Ed4gzN81sX3nJyl,2,35.1730181,136.8842329,2016/3/7 10:22
1ETA5Ed4gzN81sX3nJyl,2,35.1730179,136.8842296,2016/3/7 10:23
1ETA5Ed4gzN81sX3nJyl,2,35.1730185,136.8842301,2016/3/7 10:23
1ETA5Ed4gzN81sX3nJyl,2,35.1730188,136.8842328,2016/3/7 10:23
1ETA5Ed4gzN81sX3nJyl,2,35.1730191,136.8842359,2016/3/7 10:23
1ETA5Ed4gzN81sX3nJyl,2,35.1730194,136.8842384,2016/3/7 10:23
1ETA5Ed4gzN81sX3nJyl,2,35.1730201,136.8842379,2016/3/7 10:23
1ETA5Ed4gzN81sX3nJyl,2,35.1730206,136.8842414,2016/3/7 10:24
1ETA5Ed4gzN81sX3nJyl,2,35.1730204,136.8842408,2016/3/7 10:24
1ETA5Ed4gzN81sX3nJyl,2,35.1730204,136.8842408,2016/3/7 10:24
1ETA5Ed4gzN81sX3nJyl,2,35.1730206,136.8842403,2016/3/7 10:24
1ETA5Ed4gzN81sX3nJyl,2,35.1730205,136.8842396,2016/3/7 10:24
1ETA5Ed4gzN81sX3nJyl,2,35.1730206,136.8842403,2016/3/7 10:24
1ETA5Ed4gzN81sX3nJyl,2,35.1730206,136.8842395,2016/3/7 10:25
1ETA5Ed4gzN81sX3nJyl,2,35.1730208,136.8842394,2016/3/7 10:25
1ETA5Ed4gzN81sX3nJyl,2,35.1730206,136.884238,2016/3/7 10:25
